12/03/14,16350.66992,16364.74023,16260.03027,16340.08008
13/03/14,16341.54981,16405.07031,16084.09961,16108.88965
14/03/14,16106.32031,16165.04981,16046.99023,16065.66992
17/03/14,16066.37012,16270.33984,16066.37012,16247.21973
18/03/14,16245.92969,16369.94043,16245.92969,16336.19043
19/03/14,16335.70996,16363.32031,16126.29004,16222.16992
20/03/14,16221.98047,16353.98047,16160.33008,16331.04981
21/03/14,16332.69043,16456.44922,16290.79004,16302.76953
24/03/14,16303.28027,16380.50977,16215.55957,16276.69043
25/03/14,16279.2002,16407.17969,16279.2002,16367.87988
26/03/14,16370.70996,16466.03906,16268.99023,16268.99023
27/03/14,16268.66992,16300.94043,16191.79004,16264.23047
28/03/14,16267.76953,16414.85938,16267.76953,16323.05957
31/03/14,16324.21973,16480.84961,16324.21973,16457.66016
01/04/14,16458.05078,16565.73047,16457.59961,16532.60938
02/04/14,16532.80078,16588.18945,16506.59961,16573
03/04/14,16572.35938,16604.15039,16527.59961,16572.55078
04/04/14,16576.01953,16631.63086,16392.76953,16412.71094
07/04/14,16414.15039,16421.38086,16244.00977,16245.87012
08/04/14,16245.16016,16296.86035,16180.28027,16256.13965
09/04/14,16256.37012,16438.82031,16256.37012,16437.17969
10/04/14,16437.24023,16456.11914,16153.33984,16170.21973
11/04/14,16168.87012,16168.87012,16015.32031,16026.75
14/04/14,16028.29004,16184.75977,16028.29004,16173.24023
15/04/14,16173.49023,16272.9502,16063.2002,16262.55957
16/04/14,16266.23047,16424.84961,16266.23047,16424.84961
17/04/14,16424.14063,16460.49023,16368.13965,16408.53906
21/04/14,16408.91992,16459.7793,16402.08008,16449.25
22/04/14,16449.38086,16565.71094,16449.38086,16514.36914
23/04/14,16513.73047,16525.99023,16477.2793,16501.65039
24/04/14,16503.39063,16541.25977,16452.30078,16501.65039
25/04/14,16503.25977,16503.25977,16333.78027,16361.45996
28/04/14,16363.2002,16500.36914,16312.66016,16448.74023
29/04/14,16451.17969,16559.39063,16451.17969,16535.36914
30/04/14,16534.85938,16592.2793,16510.86914,16580.83984
01/05/14,16580.25977,16604.78906,16525.25,16558.86914
02/05/14,16562.33984,16620.06055,16488.31055,16512.89063
05/05/14,16509.75,16547.91992,16377.08984,16530.55078
06/05/14,16529.84961,16529.84961,16399.99023,16401.01953
07/05/14,16401.66016,16522.93945,16357.34961,16518.53906
08/05/14,16518.16016,16622.94922,16502.00977,16550.9707
